titre,epoque,status,image_url,error
"Triomphe de Tibère sur les Germains et les Pannoniens","Antiquité","SUCCESS","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/triomphe_de_tib_re_sur_les_germains_et_les_pannoni_ee14d714.webp",""
"Germanicus capture Thusnelda","6","FAILED","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/germanicus_capture_thusnelda_ce86f808.webp","Erreur d'insertion DB: value too long for type character varying(5)"
"Triomphe de Germanicus à Rome","Antiquité","SUCCESS","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/triomphe_de_germanicus___rome_2bd7f994.webp",""
"Mort de Germanicus à Antioche","Antiquité","SUCCESS","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/mort_de_germanicus___antioche_be9e5de1.webp",""
"Révolte de Sacrovir et Florus en Gaule","Antiquité","SUCCESS","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/r_volte_de_sacrovir_et_florus_en_gaule_da66556e.webp",""
"Tibère se retire à Capri","Antiquité","SUCCESS","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/tib_re_se_retire___capri_aa15d19c.webp",""
"Révolte des Frisons","Antiquité","SUCCESS","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/r_volte_des_frisons_111e4031.webp",""
"Chute et exécution de Séjan","Antiquité","SUCCESS","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/chute_et_ex_cution_de_s_jan_d17ec07c.webp",""
"Crise financière à Rome","Antiquité","SUCCESS","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/crise_financi_re___rome_fdd236c3.webp",""
"Intervention romaine en Arménie contre les Parthes","Antiquité","SUCCESS","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/intervention_romaine_en_arm_nie_contre_les_parthes_c235ebd9.webp",""
"Destitution de Ponce Pilate","Antiquité","SUCCESS","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/destitution_de_ponce_pilate_3646b83b.webp",""
"Mort de Drusilla","5","FAILED","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/mort_de_drusilla_800dc41e.webp","Erreur d'insertion DB: value too long for type character varying(5)"
"Complot de Gaetulicus et Lépidus contre Caligula","Antiquité","SUCCESS","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/complot_de_gaetulicus_et_l_pidus_contre_caligula_71ff92bc.webp",""
"Caligula ordonne à ses troupes de ramasser des coquillages","Antiquité","SUCCESS","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/caligula_ordonne___ses_troupes_de_ramasser_des_coq_56ddbf60.webp",""
"Annexion de la Maurétanie par Rome","Antiquité","SUCCESS","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/annexion_de_la_maur_tanie_par_rome_5902869c.webp",""
"Mort d'Hérode Agrippa Ier ; la Judée redevient province romaine","Antiquité","SUCCESS","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/mort_d_h_rode_agrippa_ier___la_jud_e_redevient_pro_c355a390.webp",""
"Annexion de la Thrace","Antiquité","SUCCESS","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/annexion_de_la_thrace_a6eaea82.webp",""
"Célébration des Jeux Séculaires à Rome","Antiquité","SUCCESS","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/c_l_bration_des_jeux_s_culaires___rome_40d1fd04.webp",""
"Scandale et exécution de Messaline","Antiquité","SUCCESS","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/scandale_et_ex_cution_de_messaline_a44ae890.webp",""
"Claude épouse sa nièce Agrippine la Jeune","Antiquité","SUCCESS","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/claude__pouse_sa_ni_ce_agrippine_la_jeune_b746fd5e.webp",""
"Fondation de Cologne (Colonia Claudia Ara Agrippinensium)","Antiquité","SUCCESS","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/fondation_de_cologne__colonia_claudia_ara_agrippin_db7083d2.webp",""
"Achèvement de l'aqueduc de Claude (Aqua Claudia)","Antiquité","SUCCESS","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/ach_vement_de_l_aqueduc_de_claude__aqua_claudia__de619b10.webp",""
"Empoisonnement de Britannicus","Antiquité","SUCCESS","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/empoisonnement_de_britannicus_1541a193.webp",""
"Début des campagnes de Corbulon en Arménie","Antiquité","SUCCESS","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/d_but_des_campagnes_de_corbulon_en_arm_nie_dbdcc0f9.webp",""
"Néron fait assassiner sa mère Agrippine","Antiquité","SUCCESS","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/n_ron_fait_assassiner_sa_m_re_agrippine_1f2a1906.webp",""
"Révolte de Boadicée en Bretagne (Britannia)","Antiquité","SUCCESS","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/r_volte_de_boadic_e_en_bretagne__britannia__f2140635.webp",""
"Tremblement de terre à Pompéi","Antiquité","SUCCESS","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/tremblement_de_terre___pomp_i_507aef90.webp",""
"Conjuration de Pison contre Néron","Antiquité","SUCCESS","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/conjuration_de_pison_contre_n_ron_0f407050.webp",""
"Néron participe aux Jeux Olympiques en Grèce","Antiquité","SUCCESS","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/n_ron_participe_aux_jeux_olympiques_en_gr_ce_ce0248e3.webp",""
"Suicide de Néron et début de l'Année des Quatre Empereurs","Antiquité","SUCCESS","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/suicide_de_n_ron_et_d_but_de_l_ann_e_des_quatre_em_52c1e8e1.webp",""
"Vespasien devient empereur et met fin à la guerre civile","Antiquité","SUCCESS","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/vespasien_devient_empereur_et_met_fin___la_guerre__a1f59b53.webp",""
"Triomphe de Vespasien et Titus pour la victoire en Judée","Antiquité","SUCCESS","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/triomphe_de_vespasien_et_titus_pour_la_victoire_en_7c26142a.webp",""
"Annexion du royaume de Commagène","Antiquité","SUCCESS","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/annexion_du_royaume_de_commag_ne_b5916bc9.webp",""
"Début de la construction du Temple de la Paix à Rome","Antiquité","SUCCESS","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/d_but_de_la_construction_du_temple_de_la_paix___ro_400cf6db.webp",""
"Publication de l'Histoire Naturelle de Pline l'Ancien","Antiquité","SUCCESS","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/publication_de_l_histoire_naturelle_de_pline_l_anc_972a944b.webp",""
"Avènement de l'empereur Domitien","Antiquité","SUCCESS","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/av_nement_de_l_empereur_domitien_a5ce5567.webp",""
"Campagne de Domitien contre les Chattes","Antiquité","SUCCESS","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/campagne_de_domitien_contre_les_chattes_ac16d906.webp",""
"Bataille du Mont Graupius","Antiquité","SUCCESS","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/bataille_du_mont_graupius_8f214189.webp",""
"Révolte de Lucius Antonius Saturninus","Antiquité","SUCCESS","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/r_volte_de_lucius_antonius_saturninus_31a6adc6.webp",""
"Invasions des Sarmates et des Suèves sur le Danube","Antiquité","SUCCESS","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/invasions_des_sarmates_et_des_su_ves_sur_le_danube_6d2f35ec.webp",""
"Persécution des chrétiens sous Domitien","Antiquité","SUCCESS","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/pers_cution_des_chr_tiens_sous_domitien_695f11d3.webp",""
"Nerva adopte Trajan","Antiquité","SUCCESS","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/nerva_adopte_trajan_dae16dc1.webp",""
"Trajan rentre à Rome en triomphe","Antiquité","SUCCESS","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/trajan_rentre___rome_en_triomphe_959926e5.webp",""
